start	end	read depth
1380000	1381999	0
1382000	1383999	0
1384000	1385999	0
1386000	1387999	0
1388000	1389999	0
1390000	1391999	0
1392000	1393999	0
1394000	1395999	0
1396000	1397999	0
1398000	1399999	0
1400000	1401999	0
1402000	1403999	0
1404000	1405999	0
1406000	1407999	0
1408000	1409999	0
1410000	1411999	0
1412000	1413999	0
1414000	1415999	0
1416000	1417999	0
1418000	1419999	0
1420000	1421999	0
1422000	1423999	0
1424000	1425999	0
1426000	1427999	0
1428000	1429999	0
1430000	1431999	0
1432000	1433999	0
1434000	1435999	0
1436000	1437999	0
1438000	1439999	0
1440000	1441999	0
1442000	1443999	0
1444000	1445999	0
1446000	1447999	0
1448000	1449999	0
1450000	1451999	0
1452000	1453999	0
1454000	1455999	0
1456000	1457999	0
1458000	1459999	0
1460000	1461999	0
1462000	1463999	0
1464000	1465999	0
1466000	1467999	0
1468000	1469999	0
1470000	1471999	0
1472000	1473999	0
1474000	1475999	0
1476000	1477999	0
1478000	1479999	0
1480000	1481999	0
1482000	1483999	0
1484000	1485999	0
1486000	1487999	0
1488000	1489999	0
1490000	1491999	0
1492000	1493999	0
1494000	1495999	0
1496000	1497999	0
1498000	1499999	0
1500000	1501999	0
1502000	1503999	0
1504000	1505999	0
1506000	1507999	0
1508000	1509999	0
1510000	1511999	0
1512000	1513999	0
1514000	1515999	0
1516000	1517999	0
1518000	1519999	0
1520000	1521999	0
1522000	1523999	0
1524000	1525999	0
1526000	1527999	0
1528000	1529999	0
1530000	1531999	0
1532000	1533999	0
1534000	1535999	0
1536000	1537999	0
1538000	1539999	0
1540000	1541999	0
1542000	1543999	0
1544000	1545999	0
1546000	1547999	0
1548000	1549999	0
1550000	1551999	0
1552000	1553999	0
1554000	1555999	0
1556000	1557999	0
1558000	1559999	0
1560000	1561999	0
1562000	1563999	0
1564000	1565999	0
1566000	1567999	0
1568000	1569999	0
1570000	1571999	0
1572000	1573999	0
1574000	1575999	0
1576000	1577999	0
1578000	1579999	0
1580000	1581999	0
1582000	1583999	0
1584000	1585999	0
1586000	1587999	0
1588000	1589999	0
1590000	1591999	0
1592000	1593999	0
1594000	1595999	0
1596000	1597999	0
1598000	1599999	0
1600000	1601999	0
1602000	1603999	0
1604000	1605999	0
1606000	1607999	0
1608000	1609999	0
1610000	1611999	0
1612000	1613999	0
1614000	1615999	0
1616000	1617999	0
1618000	1619999	0
1620000	1621999	0
1622000	1623999	0
1624000	1625999	0
1626000	1627999	0
1628000	1629999	0
1630000	1631999	0
1632000	1633999	0
1634000	1635999	0
1636000	1637999	0
1638000	1639999	0
1640000	1641999	0
1642000	1643999	0
1644000	1645999	0
1646000	1647999	0
1648000	1649999	0
1650000	1651999	0
1652000	1653999	0
1654000	1655999	0
1656000	1657999	0
1658000	1659999	0
1660000	1661999	0
1662000	1663999	0
1664000	1665999	0
1666000	1667999	0
1668000	1669999	0
1670000	1671999	0
1672000	1673999	0
1674000	1675999	0
1676000	1677999	0
1678000	1679999	0
1680000	1681999	0
1682000	1683999	0
1684000	1685999	0
1686000	1687999	0
1688000	1689999	0
1690000	1691999	0
1692000	1693999	0
1694000	1695999	0
1696000	1697999	0
1698000	1699999	0
1700000	1701999	0
1702000	1703999	0
1704000	1705999	0
1706000	1707999	0
1708000	1709999	0
1710000	1711999	0
1712000	1713999	0
1714000	1715999	0
1716000	1717999	0
1718000	1719999	0
1720000	1721999	0
1722000	1723999	0
1724000	1725999	0
1726000	1727999	0
1728000	1729999	0
1730000	1731999	0
1732000	1733999	0
1734000	1735999	0
1736000	1737999	0
1738000	1739999	0
1740000	1741999	0
1742000	1743999	0
1744000	1745999	0
1746000	1747999	0
1748000	1749999	0
1750000	1751999	0
1752000	1753999	0
1754000	1755999	0
1756000	1757999	0
1758000	1759999	0
1760000	1761999	0
1762000	1763999	0
1764000	1765999	0
1766000	1767999	0
1768000	1769999	0
1770000	1771999	0
1772000	1773999	0
1774000	1775999	0
1776000	1777999	0
1778000	1779999	0
1780000	1781999	0
1782000	1783999	0
1784000	1785999	0
1786000	1787999	0
1788000	1789999	0
1790000	1791999	0
1792000	1793999	0
1794000	1795999	0
1796000	1797999	0
1798000	1799999	0
1800000	1801999	0
1802000	1803999	0
